/* DATA DESCRIPTION:
Citation:	Topaz, Tom; Ben-Ari, Julius; Kertsnus Banchik, Evgenia; Bassa, Or; Egozi, Roey; Suari, Yair; Sade, Tal; Zedaka, Hadar; Gilboa, Merav; Yahel, Gitai; Chefetz, Benny (2023): Pesticides and pharmaceuticals data collected during two consecutive years in a Mediterranean micro-estuary [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.956766
Abstract:	The Alexander micro-estuary, located at the eastern edge of the Mediterranean Sea, is a typical example of small water bodies that suffer from a combination of urban and agricultural pollution, and overuse of its natural water sources. It is∼6.5 km long, with maximum depth of 3 m and maximum width of 45 m. To evaluate the anthropogenic stress on the system and its ability to mitigate pollution, water samples were collected within the framework of Ruppin's Estuarine and Coastal Observatory (RECO, see Suari, Y. et al. 2019). Water samples were collected from the estuary head, which drains about 510 km2, and at a point 300 m upstream from the estuary mouth before water flows into the Mediterranean Sea. A total of 236 stormwater and 44 base-flow water samples between December 2016 and December 2018. Stormwater samples were collected every 0.25 – 4 h along the entire course of the flow events using an automated samplers (Sigma 900, Hach Company, Loveland CO, USA; and ISCO 3700 Full-Size Portable Sampler, Teledyne, Lincoln, NE, USA). Base-flow samples were taken once a month using a horizontal grab sampler (5 L, model 110B, OceanTest Equipment, Fort Lauderdale, FL, USA). All samples were filtered using 90mmGF/F filters (nominal pore size of 0.7 μm, MGF, Sartorius, Göttingen, Germany) and immediately frozen (−20 °C) before chemical analysis. Chemical analysis was performed using liquid chromatography with high-resolution mass spectrometry (LC–HRMS) analysis using a QExactive Plus hybrid FT mass spectrometer coupled with a Dionex Ultimate 3000 RS UPLC (Thermo Fisher Scientific, Waltham, MA, USA). The targeted analysis, which included 15 fungicides, 25 herbicides, 18 Insecticides, and 19 pharmaceuticals, concluded with a total of 21,142 entries. The dataset contains the sampling locations, sampling dates, flood section duration, discharge rate, and the total water volume discharged during the relevant period. The provided data offers an opportunity to explore the sources, transport, and impact of a large mixture of organic pollutants in a confined aquatic system located in an urbanized coastal environment.
Keyword(s):	baseflow; environment; Estuary; Mediterranean; pesticides; pharmaceuticals; Pollutants; stormwater
Related to:	Topaz, Tom (2023): Attenuation of organic pollutants and the effects of salinity and seasonality in a Mediterranean micro-estuary. Science of the Total Environment, 856, 158919, https://doi.org/10.1016/j.scitotenv.2022.158919
References:	Suari, Yair; Dadon-Pilosof, Ayelet; Sade, Tal; Amit, Tal; Gilboa, Merav; Gafny, Sarig; Topaz, Tom; Zedaka, Hadar; Boneh, Shira; Yahel, Gitai (2019): A long term physical and biogeochemical database of a hyper-eutrophicated Mediterranean micro-estuary. Data in Brief, 27, 104809, https://doi.org/10.1016/j.dib.2019.104809
Funding:	Ruppin Academic Center (URI: http://www.ruppin.ac.il/english.aspx), grant/award no. PRIME: Pollutant Regulation by Israel's Micro-Estuaries
Coverage:	MEDIAN LATITUDE: 32.395186 * MEDIAN LONGITUDE: 34.867404 * SOUTH-BOUND LATITUDE: 32.393900 * WEST-BOUND LONGITUDE: 34.865500 * NORTH-BOUND LATITUDE: 32.396300 * EAST-BOUND LONGITUDE: 34.869600
	DATE/TIME START: 2016-12-02T02:07:00 * DATE/TIME END: 2018-12-26T16:30:00
	MINIMUM ELEVATION: 0 m a.s.l. * MAXIMUM ELEVATION: 10 m a.s.l.
Event(s):	AlexEst_B17_A0 * LATITUDE: 32.396300 * LONGITUDE: 34.865500 * DATE/TIME START: 2017-03-01T07:00:00 * DATE/TIME END: 2017-12-31T07:00:00 * ELEVATION: 0.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Portable sampler, Hach, Sigma SD900; coupled with Carousel Water Sampler, , [24 glass bottles] * COMMENT: Baseflow
	AlexEst_B17_A4 * LATITUDE: 32.393900 * LONGITUDE: 34.869600 * DATE/TIME START: 2017-03-10T09:00:00 * DATE/TIME END: 2017-12-31T09:00:00 * ELEVATION: 10.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Portable sampler, Hach, Sigma SD900; coupled with Carousel Water Sampler, , [24 glass bottles] * COMMENT: Baseflow
	AlexEst_B18_A0 * LATITUDE: 32.396300 * LONGITUDE: 34.865500 * DATE/TIME START: 2018-02-07T07:00:00 * DATE/TIME END: 2018-11-27T07:00:00 * ELEVATION: 0.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Portable sampler, Hach, Sigma SD900; coupled with Carousel Water Sampler, , [24 glass bottles] * COMMENT: Baseflow
	AlexEst_B18_A4 * LATITUDE: 32.393900 * LONGITUDE: 34.869600 * DATE/TIME START: 2018-02-07T09:00:00 * DATE/TIME END: 2018-11-27T09:00:00 * ELEVATION: 10.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Portable sampler, Hach, Sigma SD900; coupled with Carousel Water Sampler, , [24 glass bottles] * COMMENT: Baseflow
	AlexEst_F161_A0 * LATITUDE: 32.396300 * LONGITUDE: 34.865500 * DATE/TIME START: 2016-12-02T02:07:00 * DATE/TIME END: 2016-12-03T07:45:00 * ELEVATION: 0.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Horizontal water sampler, OceanTest Equipment, Model 110B [Sample capacity: 5L] * COMMENT: Flood
	AlexEst_F161_A4 * LATITUDE: 32.393900 * LONGITUDE: 34.869600 * DATE/TIME START: 2016-12-02T02:07:00 * DATE/TIME END: 2016-12-03T07:45:00 * ELEVATION: 10.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Horizontal water sampler, OceanTest Equipment, Model 110B [Sample capacity: 5L] * COMMENT: Flood
	AlexEst_F162_A0 * LATITUDE: 32.396300 * LONGITUDE: 34.865500 * DATE/TIME START: 2016-12-13T09:30:00 * DATE/TIME END: 2016-12-15T03:06:00 * ELEVATION: 0.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Horizontal water sampler, OceanTest Equipment, Model 110B [Sample capacity: 5L] * COMMENT: Flood
	AlexEst_F162_A4 * LATITUDE: 32.393900 * LONGITUDE: 34.869600 * DATE/TIME START: 2016-12-13T09:30:00 * DATE/TIME END: 2016-12-15T03:54:00 * ELEVATION: 10.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Horizontal water sampler, OceanTest Equipment, Model 110B [Sample capacity: 5L] * COMMENT: Flood
	AlexEst_F163_A0 * LATITUDE: 32.396300 * LONGITUDE: 34.865500 * DATE/TIME START: 2016-12-25T06:15:00 * DATE/TIME END: 2016-12-28T19:07:00 * ELEVATION: 0.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Horizontal water sampler, OceanTest Equipment, Model 110B [Sample capacity: 5L] * COMMENT: Flood
	AlexEst_F163_A4 * LATITUDE: 32.393900 * LONGITUDE: 34.869600 * DATE/TIME START: 2016-12-25T06:15:00 * DATE/TIME END: 2016-12-28T19:07:00 * ELEVATION: 10.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Horizontal water sampler, OceanTest Equipment, Model 110B [Sample capacity: 5L] * COMMENT: Flood
	AlexEst_F164_A0 * LATITUDE: 32.396300 * LONGITUDE: 34.865500 * DATE/TIME START: 2017-02-16T03:18:00 * DATE/TIME END: 2017-02-16T17:15:00 * ELEVATION: 0.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Horizontal water sampler, OceanTest Equipment, Model 110B [Sample capacity: 5L] * COMMENT: Flood
	AlexEst_F164_A4 * LATITUDE: 32.393900 * LONGITUDE: 34.869600 * DATE/TIME START: 2017-02-16T03:18:00 * DATE/TIME END: 2017-02-16T17:15:00 * ELEVATION: 10.0 m * LOCATION: Alexander micro-estuary * METHOD/DEVICE: Horizontal water sampler, OceanTest Equipment, Model 110B [Sample capacity: 5L] * COMMENT: Flood
